participantId,TaskId,x,y,right_pupil_diameter,left_pupil_diameter,right_validation,left_validation,tracker_time,event_id,website_result,website_url,duration,fixationId
5,Peyton,560.000,554.714,3.50227355957031,3.42007446289063,1,1,1619038463475520,132635117787404388,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,99,43
5,Peyton,529.083,574.750,3.51986694335938,3.43167114257813,1,1,1619038463842138,132635117791071026,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,183,46
5,Peyton,630.300,550.750,3.31561279296875,3.36126708984375,1,1,1619038464058781,132635117793236488,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,316,47
5,Peyton,746.938,545.250,3.25299072265625,3.28279113769531,1,1,1619038464425395,132635117796901824,Comment Body-issue-64188831--1ms,https://github.com/opensim-org/opensim-core/pull/894,249,48
5,Peyton,811.909,522.909,3.29481506347656,3.271484375,1,1,1619038464708691,132635117799734788,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,166,49
5,Peyton,886.063,524.313,3.31913757324219,3.36160278320313,1,1,1619038464908670,132635117801735018,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,249,50
5,Peyton,848.036,534.143,3.30105590820313,3.30912780761719,1,1,1619038465225292,132635117804901910,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,449,52
5,Peyton,924.429,552.143,3.46340942382813,3.37455749511719,1,1,1619038465708561,132635117809733350,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,99,53
5,Peyton,925.400,524.000,3.35942077636719,3.39132690429688,1,1,1619038465841879,132635117811067224,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,66,54
5,Peyton,972.469,425.020,3.24330139160156,3.33775329589844,1,1,1619038465941862,132635117812067620,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,799,55
5,Peyton,1051.045,384.121,3.31484985351563,3.27098083496094,1,1,1619038466791754,132635117820565885,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,1083,56
5,Peyton,1202.154,356.974,3.31304931640625,3.19464111328125,1,1,1619038467908275,132635117831731861,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,633,57
5,Peyton,517.770,394.148,3.23924255371094,3.23329162597656,1,1,1619038468608184,132635117838730096,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,999,58
5,Peyton,619.143,391.929,3.45803833007813,3.32522583007813,1,1,1619038469658046,132635117849230217,Comment Body-issue-64188831--1ms,https://github.com/opensim-org/opensim-core/pull/894,216,59
5,Peyton,726.538,379.462,3.47650146484375,3.40034484863281,1,1,1619038469908012,132635117851729509,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,199,60
